"BRIGHT STARS,",Ascension,Declination
123,00 00 15.8,C06 57 57
123,00 00 51.9,65 28 27
9072,00 02 31.3,76 57 49
9076,00 02 54.5,05 54 41
9084,00 04 41.2,17 13 59
9089,00 06 17.0,05 36 15
9098,00 09 20.9,C29 11 33
3,00 10 10.6,C59 15 06
15,00 10 20.7,45 38 44
21,00 11 17.4,C46 10 31
25,00 12 30.6,27 41 49
27,00 12 40.2,35 01 47
34,00 14 11.4,C15 17 11
35,00 15 33.8,C20 18 34
39,00 15 34.7,18 49 50
45,00 19 18.0,C36 53 16
48,00 20 22.2,08 43 17
68,00 21 01.4,64 45 58
74,00 21 33.1,C08 17 34
77,00 22 06.1,C38 04 15
80,00 25 00.9,C38 40 45
82,00 26 41.9,77 09 01
90,00 27 06.5,43 34 39
98,00 27 11.7,42 12 20
100,00 31 18.0,23 41 08
99,00 32 18.2,48 42 05
118,00 32 23.1,62 51 23
125,00 34 04.0,C63 02 01
126,00 37 52.4,C33 49 15
130,00 38 00.7,C53 59 54
154,00 38 21.0,C35 30 04
153,00 39 32.3,C29 24 43
157,00 40 19.3,C30 57 43
163,00 41 34.1,C56 38 19
165,00 42 11.7,45 59 01
168,00 44 10.8,57 21 43
180,00 44 31.0,17 53 07
191,00 45 45.9,C48 23 07
188,00 48 19.4,C24 22 03
193,00 49 13.6,74 49 23
215,00 49 38.6,C07 41 08
236,00 49 57.2,C17 02 25
224,00 50 14.2,C57 54 46
225,00 50 50.5,C41 10 46
219,00 51 03.2,10 32 42
226,00 51 52.0,C64 20 52
235,00 53 57.3,01 02 39
233,00 55 41.4,69 25 38
248,00 57 47.2,C38 35 58
270,00 57 50.4,C60 48 59
