H2,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
28,!,Psc,9072,00 00 15.8,C06 57 57,b,4.03,C0.42,,C0.49,,F3 V,,
,,Tuc,9076,00 00 51.9,65 28 27,,4.49,0.08,,0.04,,B9 IV,,
,,Oct,9084,00 02 31.3,76 57 49,,4.78,C1.25,,C1.26,,K2 III,,
30 YY,,Psc,9089,00 02 54.5,05 54 41,,4.37,C1.63,,C2.35,,M3 III,,
2,,Cet,9098,00 04 41.2,17 13 59,,4.55,0.05,,0.03,,B9 IV,,
33 BC,,Psc,3,00 06 17.0,05 36 15,b,4.61,C1.03,,C1.04,,K0 III,IV,
21," ̨",And,15,00 09 20.9,C29 11 33,dbn01,2.07,0.04,,0.10,,B9p Hg Mn,,
11,ˇ,Cas,21,00 10 10.6,C59 15 06,svdb,2.28,C0.38,,C0.40,,F2 III,,
,,Phe,25,00 10 20.7,45 38 44,,3.88,C1.01,,C1.00,,K0 III,,
22,,And,27,00 11 17.4,C46 10 31,,5.01,C0.41,,C0.55,,F0 II,,
," 2",Scl,34,00 12 30.6,27 41 49,d,5.41,C1.35,,C1.31,,K5 III,,
,,Scl,35,00 12 40.2,35 01 47,,5.24,C0.46,,C0.53,,F3/5 V,,
88,,Peg,39,00 14 11.4,C15 17 11,svdb,2.83,0.19,,0.22,,B2 IV,,
89,,Peg,45,00 15 33.8,C20 18 34,as,4.79,C1.57,,C1.93,,M2C III,,
7 AE,,Cet,48,00 15 34.7,18 49 50,,4.44,C1.64,,C1.96,,M1 III,,
25,,And,68,00 19 18.0,C36 53 16,b,4.51,C0.05,,C0.06,,A2 Va,,
8,,Cet,74,00 20 22.2,08 43 17,d,3.56,C1.21,,C1.13,,K1 IIIb,,
,,Tuc,77,00 21 01.4,64 45 58,,4.23,C0.58,,C0.65,,F9 V,,
41,,Psc,80,00 21 33.1,C08 17 34,,5.38,C1.34,,C1.28,,K3 III Ca 1 CN 0.5,,
27,,And,82,00 22 06.1,C38 04 15,,5.16,C0.44,,C0.51,,F6 IV,,
,R,And,90,00 25 00.9,C38 40 45,svd,10.71,C2.08,,C2.63,,S5/4.5e,,
,ˇ,Hyi,98,00 26 41.9,77 09 01,,2.82,C0.62,,C0.68,,G1 IV,,
,,Phe,100,00 27 06.5,43 34 39,,3.93,C0.18,,C0.20,,A5 Vn,,
," ̨",Phe,99,00 27 11.7,42 12 20,bn02,2.40,C1.08,,C1.11,,K0 IIIb,,
,,,118,00 31 18.0,23 41 08,b,5.17,C0.13,,C0.14,,A5 Vn,,
,1,Phe,125,00 32 18.2,48 42 05,db,4.76,C0.02,,C0.01,,A1 Va,,
,ˇ 1,Tuc,126,00 32 23.1,62 51 23,db,4.36,0.06,,0.02,,B9 V,,
15,,Cas,130,00 34 04.0,C63 02 01,sb,4.17,C0.13,,C0.17,,B0.7 Ia,,
29,,And,154,00 37 52.4,C33 49 15,db,4.34,0.12,,0.08,,B5 V,,
17,,Cas,153,00 38 00.7,C53 59 54,,3.69,0.20,,0.23,,B2 IV,,
,,,157,00 38 21.0,C35 30 04,s,5.45,C0.89,,C0.82,,G2 Ib,II,
30,,And,163,00 39 32.3,C29 24 43,,4.34,C0.87,,C0.92,,G6 III Fe,,3 CH 1
31,ı,And,165,00 40 19.3,C30 57 43,sdb,3.27,C1.27,,C1.23,,K3 III,,
18," ̨",Cas,168,00 41 34.1,C56 38 19,dn03,2.24,C1.17,,C1.13,,K0 IIIa,,
,,Phe,180,00 42 11.7,45 59 01,,4.59,C0.95,,C0.95,,G8 III,,
,,Phe,191,00 44 10.8,57 21 43,d,4.36,C0.02,,C0.02,,A0.5 IV,,
