"BRIGHT STARS,",Ascension,Declination
9072,00 00 15.8,C06 57 57
9076,00 00 51.9,65 28 27
9084,00 02 31.3,76 57 49
9089,00 02 54.5,05 54 41
9098,00 04 41.2,17 13 59
3,00 06 17.0,05 36 15
15,00 09 20.9,C29 11 33
21,00 10 10.6,C59 15 06
25,00 10 20.7,45 38 44
27,00 11 17.4,C46 10 31
34,00 12 30.6,27 41 49
35,00 12 40.2,35 01 47
39,00 14 11.4,C15 17 11
45,00 15 33.8,C20 18 34
48,00 15 34.7,18 49 50
68,00 19 18.0,C36 53 16
74,00 20 22.2,08 43 17
77,00 21 01.4,64 45 58
80,00 21 33.1,C08 17 34
82,00 22 06.1,C38 04 15
90,00 25 00.9,C38 40 45
98,00 26 41.9,77 09 01
100,00 27 06.5,43 34 39
99,00 27 11.7,42 12 20
118,00 31 18.0,23 41 08
125,00 32 18.2,48 42 05
126,00 32 23.1,62 51 23
130,00 34 04.0,C63 02 01
154,00 37 52.4,C33 49 15
153,00 38 00.7,C53 59 54
157,00 38 21.0,C35 30 04
163,00 39 32.3,C29 24 43
165,00 40 19.3,C30 57 43
168,00 41 34.1,C56 38 19
180,00 42 11.7,45 59 01
191,00 44 10.8,57 21 43
188,00 44 31.0,17 53 07
193,00 45 45.9,C48 23 07
215,00 48 19.4,C24 22 03
236,00 49 13.6,74 49 23
224,00 49 38.6,C07 41 08
225,00 49 57.2,C17 02 25
219,00 50 14.2,C57 54 46
226,00 50 50.5,C41 10 46
235,00 51 03.2,10 32 42
233,00 51 52.0,C64 20 52
248,00 53 57.3,01 02 39
270,00 55 41.4,69 25 38
269,00 57 47.2,C38 35 58
264,00 57 50.4,C60 48 59
271,00 58 11.9,C23 31 02
274,00 58 50.5,C29 05 31
280,00 59 29.7,29 15 28
293,01 03 19.3,31 27 10
294,01 03 54.3,C07 59 22
322,01 06 54.3,46 37 10
332,01 08 02.4,61 40 37
331,01 08 38.4,41 23 18
338,01 09 09.5,55 08 50
321,01 09 31.1,C55 00 38
334,01 09 31.2,10 05 05
335,01 10 35.1,C47 20 24
337,01 10 46.4,C35 43 05
285,01 11 38.8,C86 21 19
343,01 12 14.5,C55 14 52
351,01 12 27.1,C21 07 57
352,01 12 41.1,C30 11 15
361,01 14 42.0,C07 40 22
378,01 18 45.3,C03 42 41
383,01 20 29.3,C27 21 39
382,01 21 15.6,C58 19 42
390,01 23 26.3,C45 37 31
402,01 24 56.9,08 05 18
403,01 27 02.5,C60 19 51
399,01 27 15.9,C68 13 33
414,01 27 41.8,C19 20 09
417,01 28 46.3,C45 30 06
429,01 29 10.0,43 13 26
433,01 30 29.4,21 32 03
440,01 32 01.2,48 58 37
437,01 32 28.6,C15 26 26
458,01 37 53.4,C41 29 50
472,01 38 24.0,57 08 36
464,01 39 08.3,C48 43 16
456,01 40 01.9,C73 08 00
489,01 42 23.8,C05 34 50
497,01 42 58.6,32 14 04
500,01 43 39.7,03 35 52
496,01 44 49.9,C50 46 52
509,01 44 55.7,15 50 26
510,01 46 22.4,C09 15 00
514,01 46 30.7,24 57 39
513,01 46 55.0,05 38 29
531,01 50 29.7,10 35 44
539,01 52 22.5,10 14 39
544,01 54 08.5,C29 40 06
555,01 54 23.1,46 12 46
549,01 54 30.9,C03 16 41
558,01 55 08.0,42 24 24
570,01 55 24.4,67 33 24
553,01 55 40.0,C20 53 52
542,01 55 44.8,C63 45 37
566,01 56 40.6,51 31 03
591,01 59 21.1,61 28 49
585,02 00 52.6,20 59 20
596,02 03 00.4,C02 51 09
590,02 03 32.8,C54 34 34
603,02 05 02.6,C42 25 03
580,02 05 03.2,C72 30 35
612,02 05 19.2,29 12 31
617,02 08 13.2,C23 32 57
622,02 10 39.1,C35 04 26
652,02 13 43.3,30 38 16
649,02 13 59.0,C08 55 58
645,02 14 50.9,C51 09 03
641,02 15 00.9,C58 38 47
674,02 17 10.2,51 25 38
666,02 17 54.5,06 20 16
664,02 18 25.2,C33 55 55
681,02 20 17.0,02 53 40
670,02 20 29.0,C47 27 52
705,02 22 05.0,68 34 32
715,02 22 59.8,73 33 44
695,02 23 23.3,23 43 58
714,02 25 25.0,60 13 47
708,02 26 50.7,12 12 28
721,02 27 39.8,47 37 17
718,02 29 08.7,C08 32 31
717,02 29 15.4,C29 45 03
707,02 30 36.9,C67 29 04
776,02 31 19.7,79 01 42
740,02 32 57.9,15 09 52
736,02 33 14.3,C36 13 42
754,02 36 50.9,C05 40 23
753,02 37 05.9,C06 58 27
743,02 39 50.0,C72 53 51
773,02 39 52.3,C22 02 25
806,02 39 52.8,68 11 17
779,02 40 26.0,C00 24 27
802,02 41 14.2,54 28 17
794,02 41 23.8,39 46 37
804,02 44 15.7,C03 18 46
801,02 44 32.5,C27 47 05
811,02 45 00.2,13 46 52
800,02 45 18.0,C44 22 28
799,02 45 28.4,C49 18 20
813,02 45 56.7,C10 11 29
818,02 45 58.0,18 29 42
841,02 49 51.9,32 19 44
838,02 51 04.7,C27 20 08
840,02 51 45.5,C38 23 37
850,02 51 52.7,20 55 43
834,02 52 03.6,C55 58 15
847,02 52 31.1,C15 09 26
868,02 54 29.7,49 48 53
424,02 55 00.0,C89 20 31
854,02 55 34.9,C52 50 13
874,02 57 19.9,08 49 32
875,02 57 33.2,03 38 20
897,02 58 57.8,40 13 53
882,03 00 12.8,C35 15 22
896,03 00 42.6,C08 58 48
939,03 02 18.5,71 49 49
919,03 03 12.5,23 33 10
911,03 03 14.9,C04 09 41
934,03 04 03.1,59 39 59
915,03 06 08.9,C53 34 39
921,03 06 22.1,C38 54 38
881,03 08 41.4,C79 29 20
936,03 09 22.8,C41 01 32
937,03 10 24.7,C49 40 57
941,03 10 45.1,C44 55 35
951,03 12 41.5,C19 47 44
963,03 12 51.8,28 54 57
977,03 13 01.4,57 15 10
962,03 13 43.2,01 07 41
972,03 15 58.1,C21 06 42
984,03 16 44.0,08 45 07
987,03 19 57.4,C50 17 19
996,03 20 20.0,C03 26 13
1003,03 20 20.4,21 41 29
1008,03 20 40.0,43 00 00
999,03 21 27.8,C29 06 51
1005,03 22 17.9,C21 12 45
961,03 22 44.8,C77 48 00
1017,03 25 39.2,C49 55 32
1030,03 25 48.7,C09 05 34
1009,03 26 18.1,C64 39 01
1029,03 27 16.7,C49 11 04
1038,03 28 10.5,C09 47 46
1083,03 29 42.3,62 52 22
1035,03 30 34.9,C60 00 11
1040,03 31 24.2,C58 56 28
1070,03 31 32.2,05 00 46
1052,03 31 53.3,C48 03 27
1066,03 31 53.8,C12 59 56
1084,03 33 48.2,09 23 48
1088,03 34 36.4,21 34 19
1100,03 37 08.0,17 24 25
1106,03 37 45.6,40 12 53
1087,03 37 48.8,C48 15 09
1101,03 37 49.1,C00 27 33
1134,03 42 59.1,31 52 49
1105,03 43 46.7,C63 16 30
1136,03 44 08.2,09 42 07
1122,03 44 15.0,C47 50 42
1175,03 44 26.2,64 44 57
1146,03 45 27.0,01 06 21
1131,03 45 29.0,C32 20 44
1142,03 45 58.7,C24 10 13
1145,03 46 18.8,C24 31 26
1135,03 46 27.4,C42 38 08
1153,03 46 39.6,C06 06 24
1149,03 46 55.9,C24 25 27
1208,03 46 58.3,74 10 55
1162,03 47 01.1,12 02 41
1156,03 47 25.7,C24 00 17
1173,03 47 38.7,23 11 46
1165,03 48 35.3,C24 09 40
1195,03 50 08.8,36 08 42
1178,03 50 16.0,C24 06 31
1155,03 51 14.1,C65 34 52
1148,03 52 20.5,C71 23 13
1203,03 55 18.0,C31 56 14
1231,03 58 53.6,13 27 25
1247,03 59 02.6,61 20 54
1220,03 59 06.1,C40 03 44
1228,04 00 10.2,C35 50 34
1239,04 01 42.5,C12 32 29
1244,04 02 28.4,01 29 56
1251,04 04 08.6,C06 02 22
1256,04 05 47.5,C22 07 52
